Esquema,Valores
Generacional,1.387810773
Generacional,1.510044665
Generacional,1.520273843
Generacional,1.543675279
Generacional,1.638818731
Generacional,1.659502598
Generacional,1.685100724
Generacional,1.752339346
Generacional,1.797628673
Generacional,1.823489207
Generacional,1.828092376
Generacional,1.868922092
Generacional,1.940340066
Generacional,2.044522954
Generacional,2.100479669
Generacional,2.130983845
Generacional,2.137023475
Generacional,2.183950441
Generacional,2.193914997
Generacional,2.247202279
Generacional,2.258333454
Generacional,2.286870351
Generacional,2.385455505
Generacional,2.427954569
Generacional,2.444614559
Generacional,2.620664133
Generacional,2.688332553
Generacional,2.73997903
Generacional,3.189039136
Generacional,3.331514018
Elitista,0.918632436
Elitista,0.984895794
Elitista,0.998081117
Elitista,1.024777866
Elitista,1.051059245
Elitista,1.055023026
Elitista,1.072011405
Elitista,1.074248319
Elitista,1.0773424
Elitista,1.080486359
Elitista,1.087811463
Elitista,1.088970859
Elitista,1.123388844
Elitista,1.124599389
Elitista,1.14067482
Elitista,1.144962605
Elitista,1.145196552
Elitista,1.162067534
Elitista,1.179856002
Elitista,1.19984872
Elitista,1.203254489
Elitista,1.428485391
Elitista,1.483112524
Elitista,1.506214839
Elitista,1.519562138
Elitista,1.55842122
Elitista,1.595014369
Elitista,1.62499391
Elitista,1.65810263
Elitista,1.944219961
Reemplazo peores,1.755551294
Reemplazo peores,1.764792953
Reemplazo peores,1.810963075
Reemplazo peores,2.839716294
Reemplazo peores,3.221061051
Reemplazo peores,3.743534159
Reemplazo peores,3.781224374
Reemplazo peores,3.799509822
Reemplazo peores,4.10451671
Reemplazo peores,4.352588924
Reemplazo peores,4.543080697
Reemplazo peores,4.825261638
Reemplazo peores,4.870766726
Reemplazo peores,4.880041763
Reemplazo peores,5.061030008
Reemplazo peores,5.128348678
Reemplazo peores,5.135739058
Reemplazo peores,5.429613684
Reemplazo peores,6.287173309
Reemplazo peores,6.529460234
Reemplazo peores,6.578361143
Reemplazo peores,6.601683159
Reemplazo peores,6.959178662
Reemplazo peores,7.063177167
Reemplazo peores,7.643015714
Reemplazo peores,8.158585058
Reemplazo peores,11.16437844
Reemplazo peores,13.67258826
Reemplazo peores,14.92599239
Reemplazo peores,15.49078427
Geometrico,0.946233615
Geometrico,1.02272428
Geometrico,1.04789342
Geometrico,0.812153123
Geometrico,1.037514472
Geometrico,1.025042303
Geometrico,1.043588873
Geometrico,1.008605062
Geometrico,1.012204227
Geometrico,0.984367714
Geometrico,1.074536011
Geometrico,1.039613003
Geometrico,1.030980527
Geometrico,1.033641815
Geometrico,1.016670932
Geometrico,1.047840547
Geometrico,1.041071878
Geometrico,0.377589354
Geometrico,1.020506832
Geometrico,1.009997018
Geometrico,1.054659829
Geometrico,1.080863899
Geometrico,1.046372349
Geometrico,1.040087881
Geometrico,1.03387217
Geometrico,1.046712831
Geometrico,1.032708037
Geometrico,1.043291801
Geometrico,0.999808773
Geometrico,1.021129832
lineal,416.3703751
lineal,464.6039644
lineal,478.7373691
lineal,436.7789485
lineal,283.8956706
lineal,296.3955921
lineal,376.0054768
lineal,421.606952
lineal,481.7733009
lineal,471.5473978
lineal,362.8100116
lineal,385.3643759
lineal,519.051251
lineal,402.8944641
lineal,627.4427871
lineal,436.2879664
lineal,438.7796268
lineal,556.5585092
lineal,564.5424596
lineal,585.6633321
lineal,351.7587746
lineal,434.9119719
lineal,239.6457339
lineal,505.6943099
lineal,252.9903042
lineal,362.564266
lineal,551.5806022
lineal,392.0207727
lineal,377.5726789
lineal,391.1302809
